RA,DEC,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g,angDist
345,60,1500-0035834,344.963592,60.020459,0.224,0.201,0.0,17.93,15.67,18.0,16.12,15.34,1976.5,2,-2,0,3,..Y,0,2,10,8,,98.573802
345,60,1499-0036162,345.0522,59.991195,0.215,0.208,90.0,17.55,15.5,17.7,15.89,15.26,1976.5,-2,-8,2,1,..Y,0,4,10,9,,99.174741
345,60,1499-0036137,344.948345,59.99005,0.228,0.213,0.0,,,,19.45,18.67,1992.6,0,0,0,0,...,,,,2,,99.653377
345,60,1500-0035831,344.952298,60.014275,0.204,0.203,90.0,19.93,18.01,19.84,17.72,17.08,1976.5,4,-8,1,1,..Y,0,4,7,9,,100.051557
345,60,1499-0036159,345.04085,59.980975,0.261,0.239,90.0,,18.81,,19.3,,1972.7,0,0,0,0,...,,8,,1,,100.501813
345,60,1499-0036157,345.031828,59.976992,0.283,0.256,90.0,,17.39,20.33,17.71,16.3,1982.1,0,0,0,0,...,,10,2,2,,100.722693
345,60,1500-0035833,344.959998,60.019573,0.302,0.225,90.0,,18.01,20.57,18.59,17.37,1982.1,0,0,0,0,...,,8,2,2,,100.729692
345,60,1499-0036162,345.054581,59.993359,0.291,0.202,90.0,,19.05,,19.35,18.31,1979.7,-4,-14,7,1,...,,9,,2,,101.122337
345,60,1500-0035831,344.94997,60.012853,0.237,0.213,90.0,,19.05,,18.95,18.31,1979.7,-16,4,4,2,...,,8,,2,,101.230257
345,60,1500-0035843,345.016006,60.027023,0.282,0.202,90.0,,18.84,20.62,18.8,17.5,1982.1,-8,-10,8,1,...,,2,4,4,,101.455887
345,60,1500-0035829,344.944248,60.004387,0.226,0.213,0.0,,18.89,,19.16,18.31,1979.7,0,0,0,0,...,,8,,2,,101.582235
345,60,1500-0035849,345.046009,60.016895,0.225,0.22,0.0,,17.33,19.76,17.44,16.65,1982.1,0,0,0,0,..Y,,1,1,3,,102.734506
345,60,1500-0035849,345.0459,60.017253,0.785,0.287,0.0,19.5,19.08,,18.36,17.75,1973.2,0,0,0,0,..Y,0,3,,3,,103.345563
345,60,1500-0035836,344.974825,60.025975,0.203,0.202,0.0,18.42,16.89,18.56,17.03,16.34,1976.5,0,0,0,0,..Y,0,4,9,10,,103.903632
345,60,1500-0035848,345.03887,60.0214,0.362,0.225,0.0,,19.03,,19.47,18.46,1979.7,92,-240,3,11,...,,4,,2,,104.054052
345,60,1499-0036139,344.956595,59.980789,0.363,0.243,90.0,,19.12,20.84,19.51,18.46,1982.1,0,0,0,0,...,,8,1,3,,104.35889
345,60,1499-0036160,345.045439,59.98195,0.298,0.25,0.0,19.66,15.61,19.15,15.11,14.23,1976.5,0,0,0,0,..Y,0,4,1,3,,104.478072
345,60,1500-0035834,344.963806,60.022834,0.231,0.224,0.0,20.06,17.57,19.96,17.72,16.02,1976.5,0,0,0,0,...,0,4,2,8,,104.874732
345,60,1500-0035834,344.962887,60.022473,0.224,0.204,0.0,,,,18.56,17.23,1992.6,0,0,0,0,...,,,,4,,104.904244
345,60,1499-0036140,344.965864,59.976323,0.246,0.204,0.0,,17.01,20.03,17.15,16.13,1982.1,0,0,0,0,...,,2,2,9,,105.088311
345,60,1499-0036160,345.045942,59.981889,1.014,0.207,0.0,19.6,14.69,,,,1953.8,0,0,0,0,..Y,0,2,,,,105.324781
345,60,1499-0036162,345.053667,59.988209,0.209,0.204,90.0,18.65,16.68,18.71,17.03,16.33,1976.5,6,-2,2,1,..Y,0,7,9,8,,105.531139
345,60,1499-0036138,344.950912,59.983673,0.315,0.219,0.0,19.6,18.94,20.5,18.69,17.79,1976.5,0,0,0,0,...,0,3,9,8,,106.140611
345,60,1500-0035849,345.04472,60.019284,0.578,0.334,90.0,,18.27,,18.87,16.61,1979.7,0,0,0,0,...,,8,,2,,106.279273
345,60,1499-0036139,344.960434,59.977714,0.217,0.2,0.0,,,,19.3,18.69,1992.6,0,0,0,0,...,,,,4,,107.295696
345,60,1499-0036135,344.940562,59.995537,0.295,0.281,90.0,,18.32,20.56,18.06,17.54,1982.1,0,0,0,0,...,,4,1,1,,108.195169
345,60,1499-0036141,344.968309,59.974381,0.355,0.208,90.0,,,20.5,18.68,18.02,1991.6,26,-118,34,6,...,,,3,4,,108.45565
345,60,1500-0035849,345.045898,60.019762,0.33,0.264,90.0,,18.31,,18.33,17.29,1979.7,0,0,0,0,...,,2,,1,,109.008049
345,60,1500-0035844,345.021956,60.028223,0.206,0.203,0.0,18.46,16.57,18.53,16.98,16.16,1976.5,0,0,0,0,..Y,0,4,8,10,,109.012443
345,60,1499-0036146,344.990103,59.970089,0.209,0.203,0.0,,18.15,20.32,17.9,16.91,1982.1,6,2,1,2,...,,3,6,3,,109.144742
345,60,1500-0035829,344.94292,60.010323,0.226,0.205,90.0,18.95,16.75,19.13,16.93,16.05,1976.5,0,0,0,0,..Y,0,4,9,9,,109.243454
345,60,1499-0036146,344.993117,59.9697,0.249,0.204,0.0,,18.87,,,17.97,1973.7,0,0,0,0,...,,8,,,,109.782042
345,60,1499-0036160,345.04755,59.980825,0.272,0.252,0.0,17.84,15.61,18.06,16.01,14.92,1976.5,0,0,0,0,..Y,0,7,4,8,,109.977496
345,60,1499-0036150,345.002742,59.969462,0.204,0.204,0.0,18.73,16.87,18.72,17.06,16.72,1976.5,0,0,0,0,..Y,0,4,9,7,,110.047509
345,60,1500-0035852,345.058817,60.008464,0.213,0.205,90.0,18.01,16.18,18.19,16.5,15.75,1976.5,0,0,0,0,..Y,0,8,10,9,,110.154988
345,60,1500-0035851,345.051403,60.016928,0.232,0.201,0.0,,19.19,,18.78,17.89,1979.7,0,0,0,0,...,,2,,8,,110.771593
345,60,1500-0035831,344.952137,60.019834,0.212,0.205,90.0,17.76,16.04,18.06,16.28,15.57,1976.5,-4,-6,2,1,..Y,0,3,9,9,,111.876197
345,60,1499-0036136,344.945428,59.985012,0.217,0.202,90.0,17.42,15.98,17.55,16.06,15.61,1976.5,-6,-6,2,1,..Y,0,8,10,9,,112.09272
345,60,1500-0035830,344.948703,60.017839,0.327,0.217,90.0,19.26,16.48,18.36,16.7,15.35,1976.5,0,0,0,0,..Y,0,9,2,7,,112.451332
345,60,1500-0035847,345.032203,60.02707,0.233,0.207,90.0,,18.52,20.76,18.64,17.39,1982.1,0,0,0,0,...,,7,3,4,,113.376159
345,60,1500-0035830,344.947528,60.017598,0.453,0.311,90.0,,16.45,18.93,16.01,14.8,1982.1,0,0,0,0,...,,3,3,3,,113.70845
345,60,1500-0035828,344.93672,60.000375,0.252,0.238,0.0,,19.14,,19.31,18.3,1979.7,0,-18,4,5,...,,4,,2,,113.911541
345,60,1500-0035839,344.996281,60.031667,0.269,0.217,0.0,19.9,17.44,19.54,17.68,16.78,1976.5,0,0,0,0,..Y,0,1,1,2,,114.197375
345,60,1499-0036134,344.939539,59.989962,0.559,0.25,90.0,,18.77,,,17.8,1973.7,0,0,0,0,...,,3,,,,114.688312
345,60,1499-0036158,345.037898,59.974353,0.241,0.216,0.0,17.51,15.55,17.58,15.46,14.62,1976.5,6,-8,2,4,..Y,0,1,4,8,,114.812068
345,60,1499-0036134,344.938953,59.990673,0.256,0.212,0.0,19.58,17.26,19.53,17.19,16.94,1976.5,0,0,0,0,..Y,0,9,9,9,,114.91519
345,60,1500-0035830,344.946075,60.017317,0.493,0.2,90.0,18.93,16.55,19.65,,,1965.7,0,-16,11,0,...,0,1,1,,,115.33926
345,60,1499-0036160,345.04492,59.977025,1.019,1.019,90.0,,19.17,,,18.3,1973.7,0,0,0,0,...,,2,,,,115.685558
345,60,1500-0035839,344.994945,60.032106,0.656,0.341,0.0,,17.03,19.01,18.07,17.62,1982.1,44,2,11,25,...,,8,1,1,,115.938997
345,60,1500-0035840,344.999498,60.032231,0.283,0.201,90.0,,17.76,20.31,17.8,16.9,1982.1,4,-6,8,0,...,,2,6,4,,116.03502
345,60,1499-0036144,344.982473,59.968687,0.266,0.2,0.0,,,,18.95,17.79,1992.6,0,0,0,0,...,,,,2,,117.062175
345,60,1500-0035828,344.935264,60.003459,0.225,0.206,0.0,,19.22,,19.42,18.68,1979.7,6,-6,1,3,...,,4,,5,,117.182003
345,60,1499-0036146,344.992159,59.967662,0.21,0.207,90.0,15.09,13.73,15.43,13.84,13.38,1976.5,-2,-6,2,1,..Y,0,4,10,9,,117.27016
345,60,1499-0036144,344.982987,59.968542,0.3,0.215,0.0,,,,18.61,17.73,1992.6,0,0,0,0,...,,,,2,,117.320073
345,60,1500-0035832,344.953184,60.022698,0.468,0.222,90.0,,19.04,20.82,18.93,17.83,1982.1,4,14,17,4,...,,6,2,4,,117.360125
345,60,1499-0036154,345.022775,59.969309,1.019,1.019,90.0,,16.48,20.22,,,1971.7,0,0,0,0,...,,9,1,,,117.854449
345,60,1500-0035828,344.935562,60.006628,0.212,0.208,90.0,19.38,17.43,19.4,17.73,16.87,1976.5,0,0,0,0,..Y,0,6,2,4,,118.406081
345,60,1499-0036154,345.01987,59.968556,1.019,0.981,0.0,,17.03,19.74,,,1971.7,0,0,0,0,...,,7,1,,,118.719282
345,60,1500-0035838,344.989953,60.032634,0.243,0.217,90.0,14.11,12.92,14.29,13.03,12.39,1976.5,-14,-6,4,2,..Y,0,9,8,10,,118.864875
345,60,1500-0035852,345.058628,60.015248,0.371,0.312,90.0,,19.41,,,18.41,1973.7,0,0,0,0,...,,4,,,,118.931738
345,60,1500-0035845,345.024417,60.03087,0.22,0.213,0.0,,18.64,20.65,18.9,17.01,1982.1,20,-4,3,3,...,,9,8,8,,119.499499
345,60,1500-0035850,345.050706,60.021856,0.256,0.214,0.0,,18.83,20.81,18.98,18.24,1982.1,0,0,0,0,...,,1,2,3,,120.480665
345,60,1499-0036165,345.066092,59.994559,0.34,0.201,90.0,,18.7,20.53,18.63,17.66,1982.1,18,10,11,0,...,,9,4,2,,120.577004
345,60,1499-0036159,345.038525,59.972517,0.219,0.214,90.0,18.87,16.52,18.69,16.61,15.96,1976.5,0,0,0,0,..Y,0,5,8,7,,120.837189
345,60,1499-0036142,344.977184,59.968387,0.281,0.271,90.0,,19.08,20.7,19.19,18.32,1982.1,0,0,0,0,...,,8,3,7,,120.996822
345,60,1500-0035854,345.064795,60.009375,0.222,0.217,90.0,,18.61,20.68,18.84,17.91,1982.1,0,0,0,0,...,,3,4,4,,121.400156
345,60,1499-0036135,344.941756,59.982948,0.511,0.205,0.0,,,,19.29,18.29,1992.6,0,0,0,0,...,,,,1,,121.512679
345,60,1499-0036136,344.946467,59.9793,0.319,0.201,0.0,,18.62,,18.18,17.63,1979.7,-12,-8,0,9,...,,4,,1,,121.83673
345,60,1499-0036153,345.016614,59.967192,1.019,1.019,90.0,,10.67,19.74,18.95,17.83,1982.1,-288,2,73,45,..Y,,4,1,4,,121.839429
345,60,1499-0036153,345.017284,59.967081,0.767,0.25,0.0,,,,18.95,17.83,1992.6,0,0,0,0,...,,,,4,,122.528133
345,60,1499-0036133,344.933845,59.991773,0.283,0.207,0.0,,18.97,20.79,19.0,,1978.3,0,0,0,0,...,,4,3,5,,122.721194
345,60,1500-0035850,345.047506,60.024531,0.209,0.201,90.0,19.94,18.39,20.28,18.25,17.56,1976.5,0,0,0,0,...,0,8,7,8,,122.905027
345,60,1499-0036135,344.942548,59.981342,0.254,0.231,0.0,,18.78,20.74,18.8,17.32,1982.1,0,0,0,0,...,,6,4,4,,123.337172
345,60,1500-0035854,345.068606,60.001662,0.211,0.205,90.0,,18.89,20.81,19.1,18.36,1982.1,0,0,0,0,...,,7,3,2,,123.632378
345,60,1499-0036137,344.950759,59.975684,0.234,0.209,90.0,20.1,18.17,20.12,18.1,17.2,1976.5,0,0,0,0,..Y,0,5,2,8,,124.597542
345,60,1499-0036134,344.936262,59.986337,0.235,0.212,90.0,17.38,15.84,17.56,16.09,15.43,1976.5,-4,-8,4,2,..Y,0,3,10,9,,124.849693
345,60,1499-0036145,344.985062,59.966092,0.217,0.213,0.0,,18.88,,,18.42,1973.7,0,0,0,0,...,,2,,,,124.998154
